row_id,model,question,gold_answer,model_response,gold_norm,pred_norm,exact_match,contains_gold,fuzzy_score,fuzzy_correct_80,fuzzy_correct_90,response_length_chars,gold_length_chars
781,openai:gpt-4o-mini,Quelle guerre a mené aux traités inégaux ?,guerres de l'opium,Guerre de l'Opium.,guerres de l opium,guerre de l opium,0,0,97.14285714285714,1,1,18,18
416,openai:gpt-4o-mini,Quelle est la profession de Claude Lévi-Strauss ?,anthropologues,Anthropologue.,anthropologues,anthropologue,0,0,96.2962962962963,1,1,14,14
417,openai:gpt-4o-mini,Quelle est la profession de Claude Lévi-Strauss ?,anthropologues,Anthropologue.,anthropologues,anthropologue,0,0,96.2962962962963,1,1,14,14
2748,openai:gpt-4o-mini,Qui gère la réserve depuis 1996 ?,Office national des forêts,L'Office national des forêts.,office national des forets,l office national des forets,0,1,96.2962962962963,1,1,29,26
1667,openai:gpt-4o-mini,De quelle origine sont les berdaches ?,amérindiennes,Amérindienne.,amerindiennes,amerindienne,0,0,96.0,1,1,13,13
146,openai:gpt-4o-mini,Quel est la forme géométrique de la tour Choukhov ?,hyperboloïdes,Hyperboloïde,hyperboloides,hyperboloide,0,0,96.0,1,1,12,13
182,openai:gpt-4o-mini,Dans quel objet retrouve-t-on des mots et leur définition ?,dictionnaires,Dictionnaire.,dictionnaires,dictionnaire,0,0,96.0,1,1,13,13
250,openai:gpt-4o-mini,Quelle est la nationalité des personnes qui ont détruit les bâtiments et les champs des acadiens ?,Britanniques,Britannique.,britanniques,britannique,0,0,95.65217391304348,1,1,12,12
249,openai:gpt-4o-mini,Quelle est la nationalité des personnes qui ont détruit les bâtiments et les champs des acadiens ?,Britanniques,Britannique.,britanniques,britannique,0,0,95.65217391304348,1,1,12,12
428,openai:gpt-4o-mini,A quelle famille d'instruments de musique appartiennent les tambours ?,percussions,Percussion.,percussions,percussion,0,0,95.23809523809523,1,1,11,11
118,openai:gpt-4o-mini,De quel confession est l'ordre d'Orange ?,protestante,Protestant.,protestante,protestant,0,0,95.23809523809523,1,1,11,11
1115,openai:gpt-4o-mini,Dans quelle revue ont été synthétisé les résultats des études avant les travaux du professeur Séralini ?,la Food and Chemical Toxicology,Food and Chemical Toxicology.,la food and chemical toxicology,food and chemical toxicology,0,0,94.91525423728814,1,1,29,31
2467,openai:gpt-4o-mini,Quelle était l'armée la mieux organisée lors de la guerre d'indépendance des États-Unis ?,armée britannique,L'armée britannique.,armee britannique,l armee britannique,0,1,94.44444444444444,1,1,20,17
928,openai:gpt-4o-mini,Quelle distinction a obtenu Wole Soyinka en 1986 ?,le prix Nobel de littérature,Prix Nobel de littérature.,le prix nobel de litterature,prix nobel de litterature,0,0,94.33962264150944,1,1,26,28
