row_id,model,question,gold_answer,model_response,gold_norm,pred_norm,exact_match,contains_gold,fuzzy_score,fuzzy_correct_80,fuzzy_correct_90,response_length_chars,gold_length_chars
0,openai:gpt-4o-mini,question,reponse,Réponse : 42.,reponse,reponse 42,0,1,82.35294117647058,1,0,13,7
1,openai:gpt-4o-mini,Quel architecte fût à l'origine des plans du Woolworth building?,Cass Gilbert,Cass Gilbert.,cass gilbert,cass gilbert,1,1,100.0,1,1,13,12
2,openai:gpt-4o-mini,Où se trouvait Franck Woolworth lors de l'inauguration de son immeuble New Yorkais ?,Washington,À New York.,washington,a new york,0,0,30.000000000000004,0,0,11,10
3,openai:gpt-4o-mini,Comment fût payé le bâtiment commandé par Franck Woolworth?,en cash,En espèces.,en cash,en especes,0,0,58.82352941176471,0,0,11,7
4,openai:gpt-4o-mini,En quelle année ouvrit le Woolworth Building ?,1913,1913,1913,1913,1,1,100.0,1,1,4,4
5,openai:gpt-4o-mini,Qui commanda la construction du Woolworth Building ?,Frank Woolworth,Frank W. Woolworth.,frank woolworth,frank w woolworth,0,0,93.75,1,1,19,15
6,openai:gpt-4o-mini,Quelle femme devint reine aux côtés de Philippe le Bel ?,Jeanne Ire de Navarre,Jeanne de Navarre.,jeanne ire de navarre,jeanne de navarre,0,0,89.47368421052632,1,0,18,21
7,openai:gpt-4o-mini,Quel créancier du roi fut supprimé en 1312 ?,l'ordre du Temple,Les Templiers.,l ordre du temple,les templiers,0,0,60.0,0,0,14,17
8,openai:gpt-4o-mini,Quel créancier du roi fut supprimé en 1312 ?,l'ordre du Temple,Les Templiers.,l ordre du temple,les templiers,0,0,60.0,0,0,14,17
9,openai:gpt-4o-mini,Quelle raison pousse Philippe Le Bel à organiser les premiers Etats généraux ?,pour lever de nouveaux impôts,La nécessité financière.,pour lever de nouveaux impots,la necessite financiere,0,0,30.76923076923077,0,0,24,29
10,openai:gpt-4o-mini,Quel souverain utilise les dévaluations monétaires pour s'enrichir ?,Philippe IV le Bel,Le roi.,philippe iv le bel,le roi,0,0,33.333333333333336,0,0,7,18
11,openai:gpt-4o-mini,Quel souverain rattacha le compté de Toulouse au royaume ?,Philippe III le Hardi,Louis VII.,philippe iii le hardi,louis vii,0,0,33.333333333333336,0,0,10,21
12,openai:gpt-4o-mini,Qui succède à Louis 8 ?,Saint Louis,Louis 9.,saint louis,louis 9,0,0,55.55555555555556,0,0,8,11
13,openai:gpt-4o-mini,Quels territoires Louis 8 réussit-il à prendre ?,des fiefs dans le midi,Le Languedoc et le Roussillon.,des fiefs dans le midi,le languedoc et le roussillon,0,0,35.29411764705882,0,0,30,22
14,openai:gpt-4o-mini,Quels territoires Louis 8 réussit-il à prendre ?,le midi,Le Languedoc et le Poitou.,le midi,le languedoc et le poitou,0,0,31.25,0,0,26,7
15,openai:gpt-4o-mini,Combien de temps dura le règne de Louis 8 ?,trois ans,Louis 8 a régné 3 ans.,trois ans,louis 8 a regne 3 ans,0,0,46.666666666666664,0,0,22,9
16,openai:gpt-4o-mini,Quelle position occupe Saint Louis dans la justice qu'il instaure ?,juge et arbitre,Roi-juges.,juge et arbitre,roi juges,0,0,33.333333333333336,0,0,10,15
17,openai:gpt-4o-mini,Quelle position occupe Saint Louis dans la justice qu'il instaure ?,le rôle de juge et arbitre,Roi-juge.,le role de juge et arbitre,roi juge,0,0,41.17647058823529,0,0,9,26
18,openai:gpt-4o-mini,Quand est-ce que Saint Louis fût en croisade ?,1248 à 1254,1248-1254.,1248 a 1254,1248 1254,0,0,90.0,1,1,10,11
19,openai:gpt-4o-mini,Pourquoi le roi des francs est-il devenu le roi de France ?,étendre le domaine royal au détriment des princes,Unification des royaumes.,etendre le domaine royal au detriment des princes,unification des royaumes,0,0,38.35616438356164,0,0,25,49
20,openai:gpt-4o-mini,Quand est-ce que le roi des francs est-il devenu le roi de France ?,1204,987.,1204,987,0,0,0.0,0,0,4,4
21,openai:gpt-4o-mini,En quelle année Philippe II Auguste s'empare t-il du compté d'Amiens ?,1185,1185,1185,1185,1,1,100.0,1,1,4,4
22,openai:gpt-4o-mini,Comment Philippe Auguste utilise t-il le droit féodal ?,"prononcer une confiscation, dont le duché de Normandie",Pour renforcer son pouvoir royal.,prononcer une confiscation dont le duche de normandie,pour renforcer son pouvoir royal,0,0,40.0,0,0,33,54
23,openai:gpt-4o-mini,Comment Philippe Auguste utilise t-il le droit féodal ?,pour prononcer une confiscation,Pour renforcer son pouvoir.,pour prononcer une confiscation,pour renforcer son pouvoir,0,0,56.14035087719298,0,0,27,31
24,openai:gpt-4o-mini,Quel est le roi d'Angleterre à l'époque de Philippe II Auguste ?,Jean d'Angleterre,Jean sans Terre.,jean d angleterre,jean sans terre,0,0,75.0,0,0,16,17
25,openai:gpt-4o-mini,Quel est le roi d'Angleterre à l'époque de Philippe II Auguste ?,Jean d'Angleterre,Jean sans Terre.,jean d angleterre,jean sans terre,0,0,75.0,0,0,16,17
26,openai:gpt-4o-mini,Quel est le roi d'Angleterre à l'époque de Philippe II Auguste ?,Jean d'Angleterre,Jean sans Terre.,jean d angleterre,jean sans terre,0,0,75.0,0,0,16,17
27,openai:gpt-4o-mini,A quelle époque la vision du royaume change-t-elle ?,Sous le règne de Louis VI,Au Moyen Âge.,sous le regne de louis vi,au moyen age,0,0,32.432432432432435,0,0,13,25
28,openai:gpt-4o-mini,Quel est le roi qui mena plusieurs expédition dans le royaume ?,Louis VI,Roi Salomon.,louis vi,roi salomon,0,0,31.57894736842105,0,0,12,8
29,openai:gpt-4o-mini,Pourquoi Louis VI mena-t-il plusieurs expédition dans le royaume ?,pour soumettre les châtelains qui ne reconnaissent pas son pouvoir,Pour renforcer son autorité.,pour soumettre les chatelains qui ne reconnaissent pas son pouvoir,pour renforcer son autorite,0,0,40.86021505376344,0,0,28,66
30,openai:gpt-4o-mini,Quel roi a poursuivi l'unification du royaume initié par Louis VI ?,Louis VII,Louis VII,louis vii,louis vii,1,1,100.0,1,1,9,9
31,openai:gpt-4o-mini,Quelle est le nom de la Reine de Louis VII ?,Aliénor d'Aquitaine,Eleanor d'Aquitaine.,alienor d aquitaine,eleanor d aquitaine,0,0,89.47368421052632,1,0,20,19
32,openai:gpt-4o-mini,Quelle est le nom de la Reine de Louis VII ?,Aliénor d'Aquitaine,Aliénor d'Aquitaine.,alienor d aquitaine,alienor d aquitaine,1,1,100.0,1,1,20,19
33,openai:gpt-4o-mini,En quoi consiste la sélection massale ?,"repérer les meilleurs pieds de vigne, à en prélever des bout de sarments pour ensuite les greffer",Élimination des individus moins adaptés d'une population.,reperer les meilleurs pieds de vigne a en prelever des bout de sarments pour ensuite les greffer,elimination des individus moins adaptes d une population,0,0,35.526315789473685,0,0,57,97
34,openai:gpt-4o-mini,Y a-t-il des vignes issues de la sélection massale en côte des blancs ?,beaucoup de vignobles plantés en sélection massale,Oui.,beaucoup de vignobles plantes en selection massale,oui,0,0,11.32075471698113,0,0,4,50
35,openai:gpt-4o-mini,Y a-t-il des vignes issues de la sélection massale en côte des blancs ?,On compte encore beaucoup de vignobles plantés en sélection massale,Oui.,on compte encore beaucoup de vignobles plantes en selection massale,oui,0,0,8.571428571428575,0,0,4,67
36,openai:gpt-4o-mini,Comment s'appelle le processus de greffer les bouts de sarments prélevés sur les meilleurs pieds de vignes ?,sélection massale,Greffage.,selection massale,greffage,0,0,24.0,0,0,9,17
37,openai:gpt-4o-mini,Quelle est la type de sélection qui s'oppose à la sélection massale ?,sélection clonale,Sélection diversifiante.,selection clonale,selection diversifiante,0,0,60.0,0,0,24,17
38,openai:gpt-4o-mini,Quel est le problème engendré par la sélection clonale ?,réduction de la diversité génétique,Perte de diversité génétique.,reduction de la diversite genetique,perte de diversite genetique,0,0,79.36507936507937,0,0,29,35
39,openai:gpt-4o-mini,Combien d'espèces rares il y a t-il parmi les plantes de la côte des blancs ?,quarante,Plus de 30.,quarante,plus de 30,0,0,22.22222222222222,0,0,11,8
40,openai:gpt-4o-mini,Combien d'espèces rares il y a t-il parmi les plantes de la côte des blancs ?,quarante espèce rares ou protégées,Une dizaine.,quarante espece rares ou protegees,une dizaine,0,0,26.66666666666667,0,0,12,34
41,openai:gpt-4o-mini,Pouvez-vous me donner des examples d'espèces animales menacés vivant dans la cote des blancs ?,"coléoptères, libellules, criquets et sauterelles","Dauphin de Risso, tortue luth.",coleopteres libellules criquets et sauterelles,dauphin de risso tortue luth,0,0,32.432432432432435,0,0,30,48
42,openai:gpt-4o-mini,Pouvez-vous me donner des examples d'espèces animales menacés vivant dans la cote des blancs ?,"coléoptères, libellules, criquets et sauterelles","Loutre de mer, pélican brun.",coleopteres libellules criquets et sauterelles,loutre de mer pelican brun,0,0,36.111111111111114,0,0,28,48
43,openai:gpt-4o-mini,Peut-on voir des oiseaux dans la côte des blancs ?,attirent une avifaune diversifiée,Oui.,attirent une avifaune diversifiee,oui,0,0,11.111111111111116,0,0,4,33
44,openai:gpt-4o-mini,Où vivent les chauves-souris de la cote des blancs ?,carrières souterraines,Dans des cavernes.,carrieres souterraines,dans des cavernes,0,0,46.15384615384615,0,0,18,22
45,openai:gpt-4o-mini,Y a-t-il des reptiles dans la côte des blancs ?,reptiles y sont eux aussi relativement nombreux,Oui.,reptiles y sont eux aussi relativement nombreux,oui,0,0,12.0,0,0,4,47
46,openai:gpt-4o-mini,À quel endroit commence la côte des blancs ?,au bois de Cormont,Saint-Germain-sur-Ay.,au bois de cormont,saint germain sur ay,0,0,36.8421052631579,0,0,21,18
47,openai:gpt-4o-mini,Quels sont les petites villes qui entourent la cote des blancs ?,"Avize, Cramant, Cuis et Grauves","Étaples, Le Touquet, Berck.",avize cramant cuis et grauves,etaples le touquet berck,0,0,33.9622641509434,0,0,27,31
48,openai:gpt-4o-mini,Quels sont les petites villes qui entourent la cote des blancs ?,"Avize, Cramant, Cuis et Grauves","Épernay, Cumières, Ay.",avize cramant cuis et grauves,epernay cumieres ay,0,0,45.833333333333336,0,0,22,31
49,openai:gpt-4o-mini,A quelle hauteur monte le mont Saran ?,243 m d'altitude,1240 mètres.,243 m d altitude,1240 metres,0,0,44.44444444444444,0,0,12,16
50,openai:gpt-4o-mini,A quelle hauteur monte le mont Saran ?,243 m,3297 mètres.,243 m,3297 metres,0,0,37.5,0,0,12,5
51,openai:gpt-4o-mini,Quelles est la hauteur moyenne de la côte des blancs ?,100 et 200 mètres,"1,20 m.",100 et 200 metres,1 20 m,0,0,52.17391304347826,0,0,7,17
52,openai:gpt-4o-mini,Quelles est la hauteur moyenne de la côte des blancs ?,100 et 200 mètres,Environ 50 mètres.,100 et 200 metres,environ 50 metres,0,0,58.82352941176471,0,0,18,17
53,openai:gpt-4o-mini,Quel est le nom du mont su sud de la cote des blancs ?,Aimé,Mont Blanc.,aime,mont blanc,0,0,14.28571428571429,0,0,11,4
54,openai:gpt-4o-mini,Quelle est la consigne pour les webmestres?,rester fidèles aux 216 couleurs garanties pour le web,Respecter les normes web.,rester fideles aux 216 couleurs garanties pour le web,respecter les normes web,0,0,49.350649350649356,0,0,25,53
55,openai:gpt-4o-mini,Quelle est la consigne pour les webmestres?,rester fidèles aux 216 couleurs garanties,Respecter les standards du web.,rester fideles aux 216 couleurs garanties,respecter les standards du web,0,0,45.070422535211264,0,0,31,41
56,openai:gpt-4o-mini,A quelle époque les moniteurs de couleur 8 bits étaient les plus répandus ?,quand la palette de 216 couleurs a été établie,Dans les années 1980.,quand la palette de 216 couleurs a ete etablie,dans les annees 1980,0,0,33.333333333333336,0,0,21,46
57,openai:gpt-4o-mini,Qui s'est rendu compte que moins des 10% des couleurs de la palette étaient bien affichés ?,David Lehn et Hadley Stern,L'équipe de développement.,david lehn et hadley stern,l equipe de developpement,0,0,39.21568627450981,0,0,26,26
58,openai:gpt-4o-mini,Qui s'est rendu compte que moins des 10% des couleurs de la palette étaient bien affichés ?,David Lehn et Hadley Stern,L'artiste.,david lehn et hadley stern,l artiste,0,0,34.285714285714285,0,0,10,26
59,openai:gpt-4o-mini,Qui s'est rendu compte que moins des 10% des couleurs de la palette étaient bien affichés ?,David Lehn et Hadley Stern,Les artistes.,david lehn et hadley stern,les artistes,0,0,36.8421052631579,0,0,13,26
60,openai:gpt-4o-mini,Quel est le nom de la palette de 22 couleurs inventée par David Lehn et Hadley Stern ?,palette vraiment garantie,Lehn-Stern Palette.,palette vraiment garantie,lehn stern palette,0,0,46.51162790697675,0,0,19,25
61,openai:gpt-4o-mini,Quel est le nom de la palette de 22 couleurs inventée par David Lehn et Hadley Stern ?,"la palette vraiment garantie (""really safe"" palette",Colorπ,la palette vraiment garantie really safe palette,color,0,0,7.547169811320753,0,0,6,51
62,openai:gpt-4o-mini,De quelles couleurs est majoritairement composée la palette vraiment garantie ?,de tons de vert et de jaune,Rouge et bleu.,de tons de vert et de jaune,rouge et bleu,0,0,40.0,0,0,14,27
63,openai:gpt-4o-mini,De quelles couleurs est majoritairement composée la palette vraiment garantie ?,de tons de vert et de jaune,Violet et jaune.,de tons de vert et de jaune,violet et jaune,0,0,57.14285714285714,0,0,16,27
64,openai:gpt-4o-mini,Quelles sont les six intensités de couleurs possible ?,"0 %, 20 %, 40 %, 60 %, 80 %, et 100 %","Rouge, vert, bleu, cyan, magenta, jaune.",0 20 40 60 80 et 100,rouge vert bleu cyan magenta jaune,0,0,25.92592592592593,0,0,40,37
65,openai:gpt-4o-mini,Quelles sont les six intensités de couleurs possible ?,"0 %, 20 %, 40 %, 60 %, 80 %, et 100 %","Rouge, vert, bleu, cyan, magenta, jaune.",0 20 40 60 80 et 100,rouge vert bleu cyan magenta jaune,0,0,25.92592592592593,0,0,40,37
66,openai:gpt-4o-mini,Quelles sont les six intensités de couleurs possible ?,"0 %, 20 %, 40 %, 60 %, 80 %, et 100","Blanc, noir, rouge, vert, bleu, jaune.",0 20 40 60 80 et 100,blanc noir rouge vert bleu jaune,0,0,23.076923076923073,0,0,38,35
67,openai:gpt-4o-mini,Quel effet induit la manque de correction gamma ?,faisant la plupart des couleurs très sombres,L'image apparaît aplatie.,faisant la plupart des couleurs tres sombres,l image apparait aplatie,0,0,38.23529411764706,0,0,25,44
68,openai:gpt-4o-mini,Quel effet induit la manque de correction gamma ?,des couleurs très sombres,Image sans contraste.,des couleurs tres sombres,image sans contraste,0,0,40.0,0,0,21,25
